Packet,PacketType,SampleNumber,Timestamp,PD,Temp_PY_TOP,Temp_PY_BOT,Temp_MIS7,Step,Data0,Data1
5,IV_Continuation,1,2700,1507,705,1221,1459,84,1321,2045
5,IV_Continuation,1,2700,1507,705,1221,1459,85,1335,2039
5,IV_Continuation,1,2700,1507,705,1221,1459,86,1353,2035
5,IV_Continuation,1,2700,1507,705,1221,1459,87,1367,2037
5,IV_Continuation,1,2700,1507,705,1221,1459,88,1383,2041
5,IV_Continuation,1,2700,1507,705,1221,1459,89,1401,2045
5,IV_Continuation,1,2700,1507,705,1221,1459,90,1417,2041
5,IV_Continuation,1,2700,1507,705,1221,1459,91,1431,2049
5,IV_Continuation,1,2700,1507,705,1221,1459,92,1447,2041
5,IV_Continuation,1,2700,1507,705,1221,1459,93,1463,2047
5,IV_Continuation,1,2700,1507,705,1221,1459,94,1479,2035
5,IV_Continuation,1,2700,1507,705,1221,1459,95,1497,2043
5,IV_Continuation,1,2700,1507,705,1221,1459,96,1513,2037
5,IV_Continuation,1,2700,1507,705,1221,1459,97,1529,2045
5,IV_Continuation,1,2700,1507,705,1221,1459,98,1545,2047
5,IV_Continuation,1,2700,1507,705,1221,1459,99,1561,2041
5,IV_Continuation,1,2700,1507,705,1221,1459,100,1575,2043
5,IV_Continuation,1,2700,1507,705,1221,1459,101,1591,2047
6,IV_Continuation,1,2700,1507,705,1221,1459,102,1607,2039
6,IV_Continuation,1,2700,1507,705,1221,1459,103,1625,2047
6,IV_Continuation,1,2700,1507,705,1221,1459,104,1641,2047
6,IV_Continuation,1,2700,1507,705,1221,1459,105,1655,2051
6,IV_Continuation,1,2700,1507,705,1221,1459,106,1671,2049
6,IV_Continuation,1,2700,1507,705,1221,1459,107,1685,2041
6,IV_Continuation,1,2700,1507,705,1221,1459,108,1705,2043
6,IV_Continuation,1,2700,1507,705,1221,1459,109,1719,2047
6,IV_Continuation,1,2700,1507,705,1221,1459,110,1735,2047
6,IV_Continuation,1,2700,1507,705,1221,1459,111,1753,2049
6,IV_Continuation,1,2700,1507,705,1221,1459,112,1769,2041
6,IV_Continuation,1,2700,1507,705,1221,1459,113,1785,2047
6,IV_Continuation,1,2700,1507,705,1221,1459,114,1801,2057
6,IV_Continuation,1,2700,1507,705,1221,1459,115,1815,2045
6,IV_Continuation,1,2700,1507,705,1221,1459,116,1831,2049
6,IV_Continuation,1,2700,1507,705,1221,1459,117,1847,2053
6,IV_Continuation,1,2700,1507,705,1221,1459,118,1863,2049
6,IV_Continuation,1,2700,1507,705,1221,1459,119,1879,2045
6,IV_Continuation,1,2700,1507,705,1221,1459,120,1895,2043
6,IV_Continuation,1,2700,1507,705,1221,1459,121,1911,2047
6,IV_Continuation,1,2700,1507,705,1221,1459,122,1925,2043
7,IV_Continuation,1,2700,1507,705,1221,1459,123,1943,2051
7,IV_Continuation,1,2700,1507,705,1221,1459,124,1957,2043
7,IV_Continuation,1,2700,1507,705,1221,1459,125,1973,2043
7,IV_Continuation,1,2700,1507,705,1221,1459,126,1989,2047
7,IV_Continuation,1,2700,1507,705,1221,1459,127,2005,2049
7,IV_Continuation,1,2700,1507,705,1221,1459,128,2023,2039
7,IV_Continuation,1,2700,1507,705,1221,1459,129,2039,2039
7,IV_Continuation,1,2700,1507,705,1221,1459,130,2053,2043
7,IV_Continuation,1,2700,1507,705,1221,1459,131,2069,2039
7,IV_Continuation,1,2700,1507,705,1221,1459,132,2085,2045
7,IV_Continuation,1,2700,1507,705,1221,1459,133,2101,2049
7,IV_Continuation,1,2700,1507,705,1221,1459,134,2117,2047
7,IV_Continuation,1,2700,1507,705,1221,1459,135,2135,2045
7,IV_Continuation,1,2700,1507,705,1221,1459,136,2151,2041
7,IV_Continuation,1,2700,1507,705,1221,1459,137,2167,2053
7,IV_Continuation,1,2700,1507,705,1221,1459,138,2181,2051
7,IV_Continuation,1,2700,1507,705,1221,1459,139,2197,2049
7,IV_Continuation,1,2700,1507,705,1221,1459,140,2213,2045
7,IV_Continuation,1,2700,1507,705,1221,1459,141,2227,2045
7,IV_Continuation,1,2700,1507,705,1221,1459,142,2245,2039
7,IV_Continuation,1,2700,1507,705,1221,1459,143,2261,2051
8,IV_Continuation,1,2700,1507,705,1221,1459,144,2277,2045
8,IV_Continuation,1,2700,1507,705,1221,1459,145,2293,2047
8,IV_Continuation,1,2700,1507,705,1221,1459,146,2309,2047
8,IV_Continuation,1,2700,1507,705,1221,1459,147,2323,2049
8,IV_Continuation,1,2700,1507,705,1221,1459,148,2339,2047
8,IV_Continuation,1,2700,1507,705,1221,1459,149,2355,2043
8,IV_Continuation,1,2700,1507,705,1221,1459,150,2371,2045
8,IV_Continuation,1,2700,1507,705,1221,1459,151,2387,2043
8,IV_Continuation,1,2700,1507,705,1221,1459,152,2403,2049
8,IV_Continuation,1,2700,1507,705,1221,1459,153,2419,2041
8,IV_Continuation,1,2700,1507,705,1221,1459,154,2435,2045
8,IV_Continuation,1,2700,1507,705,1221,1459,155,2449,2043
8,IV_Continuation,1,2700,1507,705,1221,1459,156,2467,2041
8,IV_Continuation,1,2700,1507,705,1221,1459,157,2483,2039
8,IV_Continuation,1,2700,1507,705,1221,1459,158,2497,2047
8,IV_Continuation,1,2700,1507,705,1221,1459,159,2515,2045
8,IV_Continuation,1,2700,1507,705,1221,1459,160,2531,2039
8,IV_Continuation,1,2700,1507,705,1221,1459,161,2547,2047
8,IV_Continuation,1,2700,1507,705,1221,1459,162,2563,2045
8,IV_Continuation,1,2700,1507,705,1221,1459,163,2579,2045
8,IV_Continuation,1,2700,1507,705,1221,1459,164,2595,2045
9,IV_Continuation,1,2700,1507,705,1221,1459,165,2609,2045
9,IV_Continuation,1,2700,1507,705,1221,1459,166,2625,2041
9,IV_Continuation,1,2700,1507,705,1221,1459,167,2643,2039
9,IV_Continuation,1,2700,1507,705,1221,1459,168,2659,2045
9,IV_Continuation,1,2700,1507,705,1221,1459,169,2675,2045
